НТД.ID,НТД_1.ID,Дата_регистрации,Корреспондент,Часть_проекта,Ndog,Наименование документа,krat_neim,Obekt,Блок,Стадия_проекта,NAME,Шифр (обозначение документа),Инв_№разраб_пр
23617,23632,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-238.211.003.КЖ01,139427с
23617,23633,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-238.211.003.КЖ01.010000,139428с
23617,23634,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-924.211.004.КЖ01.000100,137880с
23617,23635,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-924.211.004.КЖ01.000200,137949с
23617,23636,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-238.214.002.ГТ01,"140033с, изм.1"
23617,23637,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,,ГАН-5249/СО
23617,23638,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-238.215.001.ОВ01,138093во
23617,23639,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Спецификация оборудования (в составе документации на автоматизированные системы),43-238.215.001.ОВ01.С,138094во
23617,23640,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Чертеж,43-238.216.002.НВК01,138048вк
23617,23641,03.05.2012,УКС,С,,"Исполнительная документация по объекту: ""Насосная станция дренажной и дождевой воды""",,блок 2,2,И,Спецификация оборудования (в составе документации на автоматизированные системы),43-238.216.002.НВК01.С,138049вк
